,Plant_ID,Plant_Name,LAT,LON,Plant_Fueltype,CO2EQ_2023,Plant_Nameplate_Capacity,Cap_Factor
4437,1356,Ghent,38.7497,-85.035,COAL,10668009.81,2225.9,0.50115
4441,6041,H L Spurlock,38.7,-83.8181,COAL,7343815.45,1608.5,0.53207
4444,1384,John S. Cooper,36.9981,-84.5919,COAL,534910.56,344.0,0.15845
4454,1364,Mill Creek,38.0525,-85.9103,COAL,7950466.39,1717.2,0.50128
4468,1379,Shawnee,37.1517,-88.775,COAL,6419840.31,1575.0,0.34232
4471,6071,Trimble County,38.5847,-85.4117,COAL,7704296.91,2594.1,0.32448
4481,6055,Big Cajun 2,30.7261,-91.3692,COAL,2321472.53,1902.9,0.13945
4482,6190,Brame Energy Center,31.395,-92.716667,COAL,4401494.11,1707.3,0.27451
5186,10678,AES Warrior Run,39.595171,-78.745333,COAL,571061.93,229.0,0.32804
5214,602,Brandon Shores,39.182073,-76.537151,COAL,1362713.72,1370.2,0.08625
5569,6034,Belle River,42.7756,-82.495,COAL,6411196.2,1664.4,0.41196
5621,1702,Dan E Karn,43.644996,-83.840074,COAL,794325.93,1946.3,0.03596
5694,1710,J H Campbell,42.910296,-86.20074,COAL,7368602.96,1560.8,0.4838
5716,57949,MSC Sebewaing,43.741111,-83.447222,COAL,101.99,2.5,0.0079
5735,1733,Monroe,41.8906,-83.3464,COAL,12559107.62,3293.1,0.39778
5740,54867,Neenah Paper Munising Mill,46.4094,-86.6443,COAL,0.0,6.2,0.0
5791,50835,TES Filer City Station,44.217299,-86.28905,COAL,2818.45,70.0,0.51817
5829,1915,Allen S King,45.03,-92.7786,COAL,1097918.87,598.4,0.17711
5833,54212,American Crystal Sugar Crookston,47.76468,-96.633375,COAL,28700.88,6.5,0.82239
5834,54214,American Crystal Sugar East Grand Forks,47.927202,-97.007153,COAL,17468.45,7.5,0.43379
5835,54211,American Crystal Sugar Moorhead,46.9026,-96.76112,COAL,24410.56,5.0,0.90929
5845,10863,Archer Daniels Midland Mankato,44.187066,-93.99242,COAL,5657.2,6.1,0.16865
5892,1893,Boswell Energy Center,47.2611,-93.6528,COAL,5726991.06,923.3,0.6234
6228,10849,Northshore Mining Silver Bay Power,47.286573,-91.260531,COAL,,131.6,
6357,6090,Sherburne County,45.3808,-93.8931,COAL,7555262.86,2469.3,0.31013
6378,54533,Southern Minnesota Beet Sugar,44.796405,-95.179787,COAL,18165.73,7.5,0.45764
6421,10075,Taconite Harbor Energy Center,47.5314,-90.9114,COAL,0.0,168.0,0.0
6617,2079,Hawthorn,39.1306,-94.4778,COAL,2691083.72,1046.2,0.25746
