Plant_ID,Plant_Name,State,Coal TCO (mil$),Solar TCO (mil$),PV Gain (mil$),CO2 Avoided (tons/year),Solar MW Required,LAT,LON
79,Aurora Energy LLC Chena,AK,204.52451174306927,85.46669448987168,119.05781725319758,138827.124,65.461,64.847743,-147.735063
50392,Eielson AFB Central Heat & Power Plant,AK,102.59832022326326,51.79468910906956,50.8036311141937,50514.212,39.6708,64.67141,-147.075988
6288,Healy Power Plant,AK,390.32830450066666,224.02637907719875,166.3019254234679,173641.674,171.5872,63.8542,-148.95
50711,University of Alaska Fairbanks,AK,97.6937956980258,40.871664053315406,56.82213164471039,42092.457,31.304592,64.854171,-147.822075
50308,Utility Plants Section,AK,80.49770736528801,38.166706690755106,42.3310006745329,42207.378,29.2328,64.825601,-147.648627
26,E C Gaston,AL,5925.247105165129,2026.8720948592697,3898.375010305859,3293190.853,1552.4301600000001,33.244211,-86.458056
6002,James H Miller Jr,AL,24901.146927872822,9446.89965604668,15454.247271826142,18240458.877,7235.608,33.6319,-87.0597
6138,Flint Creek Power Plant,AR,3506.793726758607,1231.1311985453278,2275.662528213279,2510832.208,942.95304,36.2561,-94.5241
6641,Independence,AR,8764.629900033258,2827.7371543420923,5936.892745691166,6127938.61,2165.8320000000003,35.678442,-91.408761
56564,John W. Turk Jr. Power Plant,AR,4599.657827484624,1855.5190820484038,2744.1387454362202,3190340.964,1421.18676,33.649722,-93.811944
56456,Plum Point Energy Station,AR,5258.992854714856,2016.0870051442437,3242.905849570612,3720261.753,1544.1696000000002,35.6644,-89.9489
6009,White Bluff,AR,6742.600639999184,2122.894456850088,4619.7061831490955,4381738.76,1625.976,34.4228,-92.1406
160,Apache Station,AZ,2679.461946057281,1181.8213353227075,1497.6406107345733,1488741.936,905.185428,32.0603,-109.8931
113,Cholla,AZ,3088.3819499188544,1065.767468581264,2022.6144813375904,2287632.113,816.2969759999999,34.9394,-110.3033
6177,Coronado Generating Station,AZ,5467.890221256727,1837.4522471969253,3630.437974059802,4032509.398,1407.3489359999999,34.5789,-109.2708
8223,Springerville Generating Station,AZ,11022.714919598537,4014.4216922460373,7008.293227352499,7739709.097,3074.742272,34.3186,-109.1639
10684,Argus Cogen Plant,CA,278.4715586484839,145.94788413788825,132.52367451059564,139677.772,111.785,35.765,-117.3833
470,Comanche (470),CO,10611.524199421869,4034.808381021284,6576.715818400585,7719128.835,3090.3569279999997,38.2081,-104.5747
6021,Craig,CO,8220.445601010988,2808.289232230033,5412.156368780955,5845978.02,2150.9363679999997,40.4627,-107.5912
525,Hayden,CO,3976.7515299035013,1455.3029915111858,2521.4485383923156,2947313.243,1114.6516159999999,40.4856,-107.185
6248,Pawnee,CO,4573.359272026196,1616.6831935391644,2956.676078487031,3424802.539,1238.2566,40.2217,-103.6803
6761,Rawhide Energy Station,CO,2663.561921123055,895.1574327953936,1768.4044883276615,1598761.976,685.62264,40.860905,-105.021207
8219,Ray D Nixon,CO,1664.670222624124,582.1399055081786,1082.5303171159455,1177736.911,445.87497600000006,38.633451,-104.70577
594,Indian River,DE,387.83967925987145,0.0,387.83967925987145,31823.3,0.0,38.5857,-75.2341
564,Curtis H. Stanton Energy Center,FL,7055.466363897991,3145.0970649721376,3910.3692989258534,4326902.598,2408.9056,28.4822,-81.1678
136,Seminole (136),FL,12033.19877357705,5890.6931703304,6142.505603246651,6488334.789,4511.823792,29.733056,-81.632778
703,Bowen,GA,16935.223228872157,6097.668407902967,10837.55482096919,11254936.065,4670.351112,34.1256,-84.9222
6257,Scherer,GA,12142.53242807448,3852.153820002462,8290.378608072018,8384347.739,2950.4574,33.0606,-83.8075
10864,Archer Daniels Midland Cedar Rapids,IA,1103.8259843290978,561.7032587793719,542.1227255497258,525892.305,430.22205600000007,41.9221,-91.6875
10860,Archer Daniels Midland Clinton,IA,807.6028276576255,425.11471470633467,382.4881129512909,404580.577,325.60560000000004,41.8206,-90.2097
10861,Archer Daniels Midland Des Moines,IA,12.207177104523023,3.641373923395059,8.565803181127965,3873.418,2.789016,41.624438,-93.584515
1091,George Neal North,IA,2261.1871594240242,746.8984841165344,1514.28867530749,1456039.953,572.06754,42.32517,-96.37971
7343,George Neal South,IA,1728.2325833384775,556.4480904604733,1171.7844928780041,897824.221,426.19699599999996,42.3006,-96.3617
1047,Lansing,IA,213.37939570888045,0.0,213.37939570888045,0.0,0.0,43.3359,-91.1675
6664,Louisa,IA,5723.786825496461,2153.42308544084,3570.3637400556204,4059763.759,1649.358612,41.3181,-91.0931
1167,Muscatine,IA,768.9442831560856,321.2878978138713,447.65638534221426,348294.645,246.08213999999998,41.3917,-91.0569
6254,Ottumwa,IA,5208.787376146111,1872.3252436613816,3336.462132484729,3784418.301,1434.059004,41.0961,-92.555833
1073,Prairie Creek,IA,286.3462444512932,48.68008279426067,237.66616165703255,98048.232,37.285247999999996,41.944039,-91.639167
1082,Walter Scott Jr. Energy Center,IA,9086.901243903594,3398.3309025445874,5688.570341359007,6135065.354,2602.863496,41.18,-95.8408
10865,Archer Daniels Midland Co.,IL,665.7250931098259,528.1452908096011,137.57980230022486,4093.982,404.51919999999996,39.870074,-88.890756
889,Baldwin Energy Complex,IL,9352.313504741885,3516.7044404240637,5835.609064317821,6696268.151,2693.5286399999995,38.205,-89.8544
963,Dallman,IL,1334.9193008479028,383.4196687928787,951.4996320550241,826455.066,293.67035999999996,39.754803,-89.602389
876,Kincaid Generating Station,IL,4266.234877374228,1328.9811567987608,2937.253720575467,2620649.874,1017.8986799999999,39.590556,-89.496389
976,Marion,IL,1496.8400373182842,422.6397435824166,1074.2002937358675,1153810.628,323.70996,37.619747,-88.953114
6017,Newton,IL,5129.890103964863,1837.5516095243797,3292.338494440483,3821911.39,1407.4250399999999,38.9361,-88.2781
879,Powerton,IL,3589.1213146984214,797.4916285622857,2791.6296861361357,1873819.793,610.818048,40.5408,-89.6786
55856,Prairie State Generating Station,IL,17695.91306727377,7442.006762875747,10253.906304398024,12529754.434,5700.01224,38.279167,-89.666944
57928,SIUC,IL,9.197757611816302,3.2331611448062305,5.964596467010072,3259.577,2.476356,37.711944,-89.215
6137,A B Brown Generating Station,IN,3216.548578462881,1063.0734992528128,2153.475079210068,2184044.117,814.2335999999999,37.9053,-87.715
6705,Alcoa Allowance Management Inc,IN,6351.199114811759,2467.484449856186,3883.7146649555725,4506362.299,1889.905776,37.915,-87.3328
1001,Cayuga,IN,6810.109015572542,2579.8726896179587,4230.236325954584,4614402.639,1975.9866360000003,39.9242,-87.4244
983,Clifty Creek,IN,8237.139066963677,2961.247095668358,5275.891971295319,5841925.268,2268.09048,38.7378,-85.4206
1024,Crawfordsville Power Plant,IN,9.561262539960763,0.0,9.561262539960763,0.0,0.0,40.048889,-86.8992
1004,Edwardsport Generating Station,IN,4666.521846782708,1951.4797303514524,2715.0421164312556,2997016.649,1494.685332,38.8067,-87.2472
1012,F B Culley Generating Station,IN,2615.7273830315357,894.9842302520314,1720.7431527795043,1936915.682,685.48998,37.9111,-87.3275
6113,Gibson,IN,13968.479094326574,4751.977798814258,9216.501295512317,9116824.979,3639.65426,38.372222,-87.765833
994,IPL - Petersburg Generating Station,IN,8143.5441367017565,2777.3064646382795,5366.237672063477,5376201.184,2127.20592,38.5281,-87.2525
6213,Merom,IN,7133.2005937211015,2554.241642994634,4578.958950726468,5112885.868,1956.3552000000002,39.0694,-87.5108
997,Michigan City Generating Station,IN,2445.8962861912723,850.8310556148494,1595.065230576423,1620479.63,651.672,41.7208,-86.9086
6085,R M Schahfer Generating Station,IN,3233.2409073675713,924.7140956103955,2308.526811757176,1963589.044,708.2608,41.2164,-87.0261
