Plant_ID,Plant_Name,Plant_Nameplate_Capacity,Cap_Factor,CO2EQ_2023,State_x,LAT,LON,Annual_MWh,CO2_Intensity,PV Gain (mil$),State_y
6017,Newton,617.4,0.5699,3821911.39,Illinois,38.9361,-88.2781,3082260.8375999997,1.23997013600443,3292.338494440483,IL
879,Powerton,1785.6,0.08552,1873819.793,Illinois,40.5408,-89.6786,1337691.52512,1.4007861736523344,2791.6296861361357,IL
55856,Prairie State Generating Station,1766.0,0.80691,12529754.434,Illinois,38.279167,-89.666944,12483026.8056,1.0037432931233503,10253.906304398024,IL
57928,SIUC,5.1,0.12139,3259.577,Illinois,37.711944,-89.215,5423.21964,0.6010409344217524,5.964596467010072,IL
6137,A B Brown Generating Station,706.8,0.288,2184044.117,Indiana,37.9053,-87.715,1783171.5839999998,1.2248087265392404,2153.475079210068,IN
6705,Alcoa Allowance Management Inc,822.8,0.57423,4506362.299,Indiana,37.915,-87.3328,4138893.6494400003,1.088784269586081,3883.714664955573,IN
1001,Cayuga,1184.9,0.41691,4614402.639,Indiana,39.9242,-87.4244,4327410.732840001,1.0663195439208175,4230.236325954584,IN
983,Clifty Creek,1303.8,0.4349,5841925.268,Indiana,38.7378,-85.4206,4967118.151199999,1.1761196513090104,5275.891971295319,IN
1024,Crawfordsville Power Plant,12.3,0.0,0.0,Indiana,40.048889,-86.8992,0.0,,9.561262539960763,IN
1004,Edwardsport Generating Station,812.7,0.45979,2997016.649,Indiana,38.8067,-87.2472,3273360.87708,0.9155778301088169,2715.0421164312556,IN
1012,F B Culley Generating Station,368.9,0.46455,1936915.682,Indiana,37.9111,-87.3275,1501223.0562,1.290225109453658,1720.7431527795045,IN
6113,Gibson,3339.5,0.27247,9116824.979,Indiana,38.372222,-87.765833,7970842.829399999,1.1437717659383662,9216.501295512317,IN
994,IPL - Petersburg Generating Station,1873.2,0.2839,5376201.184,Indiana,38.5281,-87.2525,4658580.9648,1.154042663339395,5366.237672063477,IN
6213,Merom,1080.0,0.45286,5112885.868,Indiana,39.0694,-87.5108,4284417.888,1.193367687666605,4578.958950726468,IN
997,Michigan City Generating Station,540.0,0.3017,1620479.63,Indiana,41.7208,-86.9086,1427161.6800000002,1.1354562364650933,1595.065230576423,IN
6085,R M Schahfer Generating Station,1105.0,0.16024,1963589.044,Indiana,41.2164,-87.0261,1551091.152,1.2659404584109186,2308.526811757176,IN
6166,Rockport,2600.0,0.10949,3413529.601,Indiana,37.9256,-87.0372,2493744.24,1.368837086917943,4569.92835383196,IN
